resume,score
"Experienced in sql, flask, communication, machine learning, django, pandas, excel.",0.75
"Experienced in python, machine learning, teamwork, tensorflow, django, sql, flask.",0.75
"Experienced in sql, python, teamwork.",0.25
"Experienced in flask, tensorflow, excel, django, communication, python, teamwork.",0.5
"Experienced in machine learning, flask, communication, python, django.",0.75
"Experienced in flask, communication, pandas, machine learning.",0.75
"Experienced in pandas, django, excel.",0.25
"Experienced in tensorflow, pandas, sql, excel.",0.25
"Experienced in django, teamwork, communication, excel, pandas.",0.25
"Experienced in teamwork, machine learning, tensorflow, python, flask.",0.75
"Experienced in flask, django, sql, python.",0.5
"Experienced in tensorflow, django, sql, flask, python, teamwork, excel.",0.5
"Experienced in tensorflow, machine learning, teamwork, excel, sql, python, communication.",0.5
"Experienced in sql, excel, django, flask, python, pandas, tensorflow.",0.75
"Experienced in excel, sql, tensorflow, flask, machine learning.",0.5
"Experienced in sql, machine learning, python, pandas, flask, tensorflow, teamwork.",1.0
"Experienced in communication, django, excel, tensorflow.",0.0
"Experienced in pandas, django, python, sql.",0.5
"Experienced in communication, pandas, django, excel, flask.",0.5
"Experienced in teamwork, excel, machine learning, sql, django, pandas, flask.",0.75
"Experienced in django, machine learning, excel, communication, flask.",0.5
"Experienced in flask, teamwork, tensorflow, django.",0.25
"Experienced in excel, pandas, django, communication, teamwork, flask.",0.5
"Experienced in flask, pandas, python, communication, excel.",0.75
"Experienced in communication, excel, sql, teamwork.",0.0
"Experienced in teamwork, communication, python.",0.25
"Experienced in excel, flask, sql, django, machine learning, pandas, tensorflow.",0.75
"Experienced in tensorflow, communication, django.",0.0
"Experienced in flask, tensorflow, django, pandas, excel.",0.5
"Experienced in teamwork, tensorflow, machine learning, communication, pandas, flask.",0.75
"Experienced in django, teamwork, flask, python.",0.5
"Experienced in machine learning, django, sql, flask, teamwork.",0.5
"Experienced in django, python, excel, tensorflow, teamwork, communication, sql.",0.25
"Experienced in flask, excel, teamwork, pandas, python.",0.75
"Experienced in django, teamwork, flask, machine learning.",0.5
